lat,lon,state,county,site_name
37.765946,-122.399044,California,San Francisco,San Francisco
37.780776,-87.075307,Kentucky,Daviess,OWENSBORO PRIMARY
37.793392,-121.247874,California,San Joaquin,Manteca
37.793624,-122.263376,California,Alameda,Laney College
37.814781,-122.282347,California,Alameda,Oakland West
37.864767,-122.302741,California,Alameda,Berkeley- Aquatic Park
37.936013,-122.026154,California,Contra Costa,Concord
37.9604,-122.356811,California,Contra Costa,San Pablo
37.961578,-121.281414,California,San Joaquin,Stockton - University Park
37.962069,-119.120278,California,Mono,Lee Vining
37.97231,-122.520004,California,Marin,San Rafael
37.974436,-87.532289,Indiana,Vanderburgh,Evansville- U of E/  University of Evansville-Carson Center
38.013333,-87.577222,Indiana,Vanderburgh,Evansville- Buena Vista
38.06091,-85.89804,Kentucky,Jefferson,Watson Lane
38.06503,-84.49761,Kentucky,Fayette,LEXINGTON PRIMARY
38.07657,-78.50397,Virginia,Albemarle,Albemarle High School
38.082155,-88.624943,Illinois,Hamilton,TEN MILE CREEK DNR OFFICE
38.102507,-122.237976,California,Solano,Vallejo
38.167523,-86.983214,Indiana,Spencer,Dale- David Turnham School
38.176278,-89.788459,Illinois,Randolph,IEPA TRAILER
38.182435,-85.574361,Kentucky,Jefferson,Carrithers Middle School
38.1936,-85.7119,Kentucky,Jefferson,Durrett Lane (Near Road)
38.20185,-120.680277,California,Calaveras,San Andreas-Gold Strike Road
38.22876,-85.65452,Kentucky,Jefferson,CANNONS LANE
38.23158,-85.82678,Kentucky,Jefferson,Algonquin Parkway
38.23887,-82.9881,Kentucky,Carter,GRAYSON LAKE
38.276099,-104.597613,Colorado,Pueblo,Pueblo - Fountain School
38.288191,-85.741337,Indiana,Clark,Jeffersonville- Bates-Bowyer Ave.
38.317813,-85.833322,Indiana,Floyd,
38.346258,-81.621161,West Virginia,Kanawha,Dixie St.
38.366183,-81.693717,West Virginia,Kanawha,
38.391799,-86.929668,Indiana,Dubois,Jasper PO
38.403765,-122.818294,California,Sonoma,Sebastopol
38.410242,-82.432436,West Virginia,Cabell,
38.44853,-90.3986,Missouri,Jefferson,Arnold West
38.45934,-82.64041,Kentucky,Boyd,ASHLAND PRIMARY (FIVCO)
38.47753,-78.81952,Virginia,Rockingham,ROCKINGHAM CO. VDOT
38.494475,-121.211131,California,Sacramento,Sloughhouse
38.508075,-82.659241,Ohio,Lawrence,ODOT Ironton
38.542551,-90.263711,Missouri,St. Louis City,South Broadway
38.566055,-109.53716,Utah,Grand,Moab
38.56844,-121.49311,California,Sacramento,Sacramento-1309 T Street
38.587525,-76.141006,Maryland,Dorchester,Horn Point
38.59246,-82.80677,Ohio,Scioto,East Haverhill
38.593322,-121.503795,California,Sacramento,Sacramento-Bercut Drive
38.612034,-90.160477,Illinois,Saint Clair,IEPA-RAPS TRAILER
38.613779,-121.368014,California,Sacramento,Sacramento-Del Paso Manor
38.63114,-90.28115,Missouri,St. Louis City,Forest Park
38.650329,-90.350313,Missouri,Saint Louis,Ladue
38.65392,-75.610605,Delaware,Sussex,Seaford Shipley State Service Center
38.656429,-90.198348,Missouri,St. Louis City,Blair Street
38.656479,-90.189868,Missouri,St. Louis City,Branch Street
38.66121,-121.73269,California,Yolo,Woodland-Gibson Road
38.683304,-121.164457,California,Sacramento,Folsom-Natoma St.
38.700632,-90.144763,Illinois,Madison,Gateway Regional Medical Center
38.704534,-90.139675,Illinois,Madison,FIRESTATION #1
38.74643,-121.26498,California,Placer,Roseville-N Sunrise Ave
38.754599,-82.91701,Ohio,Scioto,Portsmouth WTP
38.75961,-94.57983,Missouri,Cass,Richard Gebaur-South
38.76835,-77.18347,Virginia,Fairfax,Springfield Near Road Site
38.770081,-99.763424,Kansas,Trego,CEDAR BLUFF
38.77335,-77.10468,Virginia,Fairfax,Lee District Park
38.838575,-94.746424,Kansas,Johnson,HERITAGE PARK
38.848014,-104.828564,Colorado,El Paso,COLORADO SPRINGS - COLLEGE COLLEGE
38.8577,-77.05922,Virginia,Arlington,Aurora Hills Visitors Center
